date(y-m-d),Argentine Peso,Australian Dollar,Bahraini Dinar,Botswana Pula,Brazilian Real,Bruneian Dollar,Bulgarian Lev,Canadian Dollar,Chilean Peso,Chinese Yuan Renminbi,Colombian Peso,Croatian Kuna,Czech Koruna,Danish Krone,Euro,Hong Kong Dollar,Hungarian Forint,Icelandic Krona,Indian Rupee,Indonesian Rupiah,Iranian Rial,Israeli Shekel,Japanese Yen,Kazakhstani Tenge,South Korean Won,Kuwaiti Dinar,Libyan Dinar,Malaysian Ringgit,Mauritian Rupee,Mexican Peso,Nepalese Rupee,New Zealand Dollar,Norwegian Krone,Omani Rial,Pakistani Rupee,Philippine Peso,Polish Zloty,Qatari Riyal,Romanian New Leu,Russian Ruble,Saudi Arabian Riyal,Singapore Dollar,South African Rand,Sri Lankan Rupee,Swedish Krona,Swiss Franc,Taiwan New Dollar,Thai Baht,Trinidadian Dollar,Turkish Lira,Emirati Dirham,British Pound,Venezuelan Bolivar
2011-01-01,3.969,0.977326,0.37705,6.472492,1.6595,1.2845,1.46383,0.9977,467.75,6.591,1915.0,5.518,18.6835,5.5671,0.746798,7.773,208.11,115.05,44.700001,9000.0,10303.0,3.548,81.15,147.300003,1120.599976,0.28125,1.253,3.0845,29.799999,12.361,71.099998,1.281394,5.8199,0.38504,85.610001,43.639999,2.96135,3.641,3.1946,30.4775,3.7501,1.2845,6.63,110.940002,6.72145,0.9345,29.14,30.02,6.34,1.5374,3.6731,0.640553,4.3
2011-01-02,3.969,0.977326,0.37705,6.472492,1.6595,1.2835,1.46383,0.9977,467.75,6.591,1915.0,5.518,18.6835,5.565,0.74685,7.773,208.11,115.05,44.700001,9000.0,10303.0,3.54,81.190002,147.300003,1120.599976,0.28125,1.253,3.0845,29.799999,12.361,71.099998,1.281394,5.8169,0.38504,85.610001,43.639999,2.9608,3.641,3.1946,30.4775,3.7501,1.2835,6.63,110.940002,6.72145,0.9338,29.099001,30.02,6.34,1.5374,3.6731,0.641067,4.3
2011-01-03,3.9735,0.980569,0.377055,6.472492,1.646288,1.284367,1.462799,0.990444,465.649994,6.591,1915.5,5.523469,18.721212,5.57424,0.74791,7.768583,207.861502,115.47,44.59,8985.0,10369.000006,3.541195,81.547858,147.325012,1124.705522,0.281,1.2512,3.066,30.799999,12.257083,71.599998,1.288409,5.827791,0.38506,85.75,43.799999,2.954452,3.64125,3.195117,30.533764,3.75023,1.284367,6.614995,110.919998,6.693788,0.933069,29.12,30.084999,6.39,1.557411,3.6732,0.645615,4.3
2011-01-04,3.971,0.99558,0.37706,6.480881,1.666747,1.287438,1.469525,0.999076,487.850006,6.608,1902.699958,5.552787,18.714335,5.600075,0.751387,7.769715,207.641879,114.85,45.062222,8982.000001,10355.000018,3.523856,81.956135,147.320007,1124.059737,0.28118,1.2534,3.0635,29.850002,12.255199,71.599999,1.303845,5.869423,0.385,85.7,43.550002,2.95757,3.6414,3.208305,30.368421,3.75025,1.287438,6.697076,110.82,6.726967,0.947903,29.175004,30.104903,6.36,1.547801,3.67315,0.641558,4.3
2011-01-05,3.9715,0.999522,0.37705,6.548788,1.670312,1.29145,1.485031,0.994376,495.149993,6.5885,1901.699951,5.618698,18.84659,5.657994,0.759228,7.770753,209.305328,115.91,45.359878,8985.0,10353.000006,3.547783,83.221293,147.075012,1127.004628,0.2819,1.2621,3.0685,30.49968,12.194041,72.599998,1.312401,5.903995,0.38506,85.809918,43.900002,2.940388,3.641492,3.237569,30.379534,3.750234,1.29145,6.719997,110.82,6.766127,0.96449,29.17,30.216193,6.38,1.543853,3.6731,0.645308,4.3
2011-01-06,3.9725,1.004114,0.377055,6.578948,1.688198,1.294907,1.500927,0.995765,495.350006,6.62725,1894.5,5.67891,18.912537,5.717558,0.76734,7.7742,212.091402,116.89,45.345004,9009.0,10358.0,3.570018,83.15911,147.050003,1122.481451,0.28218,1.2667,3.07,29.950001,12.237312,72.5,1.317633,5.954064,0.385215,85.760002,43.976198,2.967877,3.64125,3.26378,30.537749,3.75027,1.294907,6.788826,110.800003,6.859084,0.963382,29.27,30.264999,6.33,1.55325,3.67315,0.645509,4.3
2011-01-07,3.9735,1.004783,0.377055,6.6313,1.68615,1.294726,1.511231,0.993527,497.649994,6.62925,1858.500001,5.717796,18.947789,5.756632,0.77269,7.771917,214.070551,117.61,45.18,9020.000003,10352.999986,3.583777,83.053689,147.0,1121.62802,0.28238,1.269,3.068,30.049999,12.24223,72.699997,1.318594,5.970852,0.385215,85.809956,44.204962,2.999765,3.6412,3.29274,30.714613,3.75021,1.294726,6.809908,110.82,6.902419,0.965455,29.357,30.359801,6.33,1.572761,3.6731,0.642732,4.3
2011-01-08,3.976,1.00321,0.37705,6.6313,1.6835,1.2945,1.51483,0.993,497.5,6.6286,1858.5,5.73325,19.0175,5.7688,0.774773,7.77245,214.889999,117.61,45.34,9020.0,10300.0,3.578,83.175,147.0,1123.55,0.2821,1.2605,3.068,30.049999,12.2346,72.199997,1.316482,5.99995,0.3845,85.699997,44.119999,3.0099,3.6411,3.299,30.7745,3.75,1.2945,6.78,110.82,6.9379,0.9672,29.36,30.32,6.33,1.5719,3.673,0.643335,4.3
2011-01-09,3.976,1.003512,0.37705,6.6313,1.6835,1.2945,1.51483,0.9933,497.5,6.6286,1858.5,5.73325,19.0175,5.7655,0.774833,7.7725,214.889999,117.61,45.34,9020.0,10303.0,3.578,83.24,147.0,1123.15,0.2821,1.257,3.068,30.049999,12.2346,72.199997,1.315963,5.9804,0.38474,85.699997,44.119999,3.01065,3.6411,3.2977,30.7745,3.75,1.2945,6.78,110.82,6.9339,0.9672,29.36,30.32,6.33,1.5719,3.673,0.643335,4.3
2011-01-10,3.976,1.00677,0.37704,6.65336,1.693,1.298848,1.511403,0.992724,498.75,6.6379,1865.5,5.722328,19.031031,5.756485,0.772777,7.777409,216.19977,118.19,45.380001,9072.5,10418.0,3.565976,82.79255,147.149994,1128.551837,0.28249,1.2675,3.078,30.6,12.24379,72.800003,1.310808,5.978819,0.38506,85.729996,44.424998,3.018838,3.6406,3.292673,30.594829,3.750175,1.298848,6.834047,110.769997,6.881667,0.968713,29.268,30.709919,6.33,1.580967,3.67315,0.641967,4.3
2011-01-11,3.9736,1.012889,0.376975,6.6313,1.6895,1.294056,1.507297,0.990418,496.349988,6.61966,1864.699951,5.71099,18.835158,5.741512,0.770647,7.776339,213.35221,118.49,45.12209,9043.0,10368.0,3.540138,83.377785,147.225006,1124.963396,0.282159,1.26382,3.0725,30.6,12.183136,71.400003,1.315793,5.951576,0.38476,85.63,44.0924,2.971193,3.6396,3.2914,30.546712,3.750228,1.294056,6.877503,110.620003,6.840596,0.975839,29.1426,30.52,6.38,1.577683,3.67303,0.640045,4.3
2011-01-12,3.974,1.006628,0.37704,6.6357,1.675751,1.289582,1.496942,0.986237,490.649994,6.60535,1860.5,5.667447,18.623814,5.701322,0.765372,7.774075,210.876823,118.33,45.044998,9045.0,10402.999985,3.54355,83.319087,147.225006,1112.019918,0.28209,1.2638,3.0633,30.6,12.06284,72.300003,1.316262,5.917332,0.38511,85.709999,43.919998,2.940183,3.6406,3.2724,30.187971,3.750178,1.289582,6.832932,110.720001,6.772348,0.971791,28.985001,30.384998,6.38,1.562162,3.6731,0.636375,4.3
2011-01-13,3.9755,1.001603,0.3766,6.609385,1.6715,1.286,1.46645,0.9887,488.799988,6.6092,1858.0,5.5455,18.299,5.586045,0.749788,7.77405,206.085,117.36,45.245003,9050.0,10395.0,3.562,82.816,147.024994,1110.800049,0.28118,1.2545,3.0545,30.5,12.1115,72.5,1.30105,5.8538,0.3851,85.699997,44.200001,2.90585,3.64,3.19195,30.0715,3.75025,1.286,6.825615,110.739998,6.68799,0.96443,29.049999,30.445,6.38,1.54835,3.67295,0.631034,4.3
2011-01-14,3.976,1.011668,0.37704,6.65336,1.6821,1.288704,1.468011,0.990305,489.250001,6.58985,1873.0,5.550523,18.292438,5.591265,0.750578,7.774539,206.869215,116.23,45.3462,9084.944,10387.503996,3.554806,82.997455,146.979996,1115.539289,0.281348,1.2533,3.0605,30.5,12.060963,72.699997,1.302286,5.867174,0.38505,85.602,44.2548,2.904261,3.641016,3.198301,30.071364,3.750202,1.288704,6.944292,110.739998,6.696265,0.96589,29.075001,30.507,6.38,1.553183,3.673,0.63007,4.3
2011-01-15,3.971,1.011225,0.37702,6.65336,1.6855,1.2874,1.46237,0.9907,489.0,6.5886,1870.5,5.524,18.2185,5.5628,0.746993,7.7744,206.735,116.23,45.349998,9045.0,10353.0,3.556,82.860001,146.979996,1114.699951,0.2811,1.2473,3.0605,30.0,12.0285,72.199997,1.304631,5.8379,0.38495,85.510002,44.279999,2.89595,3.6411,3.1831,30.0026,3.7497,1.2874,6.91,110.739998,6.66275,0.9635,29.017,30.48,6.33,1.5532,3.673,0.630199,4.3
